Account Number,Account Name,Parent Account,Account Type,Is Group,Root Type,Required,Description
1000,ASSETS,,,,1,Yes,Main asset category
1100,Current Assets,1000,,,1,Yes,
1100-01,Cash - Operating Account - {{ABBR}},1100,Bank,0,Asset,Yes,Main operating bank account
1100-02,Cash - Payroll Account - {{ABBR}},1100,Bank,0,Asset,No,Separate payroll account if managing employees
1100-03,Cash - Trust Account - {{ABBR}},1100,Bank,0,Asset,No,Customer deposit trust account
1100-04,Petty Cash - {{ABBR}},1100,Bank,0,Asset,No,
1100-05,Money Market Account - {{ABBR}},1100,Bank,0,Asset,No,
1200,Accounts Receivable,1100,,,1,Yes,
1200-01,Accounts Receivable - Trade - {{ABBR}},1200,Receivable,0,Asset,Yes,
1200-02,Accounts Receivable - Retainage - {{ABBR}},1200,Receivable,0,Asset,No,
1200-03,Allowance for Doubtful Accounts - {{ABBR}},1200,Receivable,0,Asset,No,Contra asset
1300,Construction in Progress,1100,,,1,Yes,
1300-01,CIP - Spec Homes - Land Cost - {{ABBR}},1300,,0,Asset,No,
1300-02,CIP - Spec Homes - Direct Construction - {{ABBR}},1300,,0,Asset,No,
1300-03,CIP - Spec Homes - Indirect Construction - {{ABBR}},1300,,0,Asset,No,
1300-05,CIP - Track Builds - Land Cost - {{ABBR}},1300,,0,Asset,No,
1300-06,CIP - Track Builds - Direct Construction - {{ABBR}},1300,,0,Asset,No,
1400,Land & Lot Inventory,1100,,,1,No,
1400-01,Finished Lots - Held for Spec Building - {{ABBR}},1400,,0,Asset,No,
1400-02,Raw Land - Held for Development - {{ABBR}},1400,,0,Asset,No,
1500,Completed Homes Inventory,1100,,,1,No,
1500-01,Completed Spec Homes - For Sale - {{ABBR}},1500,,0,Asset,No,
1500-02,Model Homes - {{ABBR}},1500,,0,Asset,No,
1600,Prepaid Expenses & Other Current Assets,1100,,,1,No,
1600-01,Prepaid Insurance - {{ABBR}},1600,,0,Asset,No,
1600-02,Prepaid Licenses & Permits - {{ABBR}},1600,,0,Asset,No,
1700,Property Plant & Equipment,1000,,,1,No,
1700-01,Land - Office/Yard - {{ABBR}},1700,Fixed Asset,0,Asset,No,
1700-02,Buildings - Office - {{ABBR}},1700,Fixed Asset,0,Asset,No,
1700-05,Vehicles - {{ABBR}},1700,Fixed Asset,0,Asset,No,
1700-06,Construction Equipment - {{ABBR}},1700,Fixed Asset,0,Asset,No,
1700-07,Office Equipment - {{ABBR}},1700,Fixed Asset,0,Asset,No,
1700-11,Accumulated Depreciation - Buildings - {{ABBR}},1700,,0,Asset,No,Contra asset
1700-12,Accumulated Depreciation - Vehicles - {{ABBR}},1700,,0,Asset,No,Contra asset
1700-13,Accumulated Depreciation - Equipment - {{ABBR}},1700,,0,Asset,No,Contra asset
2000,LIABILITIES,,,,1,Yes,Main liability category
2100,Current Liabilities,2000,,,1,Yes,
2100-01,Accounts Payable - Trade - {{ABBR}},2100,Payable,0,Liability,Yes,
2100-02,Accounts Payable - Subcontractors - {{ABBR}},2100,Payable,0,Liability,No,
2100-03,Accounts Payable - Retainage Held - {{ABBR}},2100,Payable,0,Liability,No,
2100-04,Credit Cards Payable - {{ABBR}},2100,Payable,0,Liability,No,
2100-05,Line of Credit Payable - {{ABBR}},2100,,0,Liability,No,
2200,Accrued Expenses,2100,,,1,No,
2200-01,Accrued Payroll - {{ABBR}},2200,,0,Liability,No,
2200-02,Accrued Payroll Taxes - {{ABBR}},2200,,0,Liability,No,
2200-04,Accrued Interest - {{ABBR}},2200,,0,Liability,No,
2200-05,Accrued Warranties - {{ABBR}},2200,,0,Liability,No,
2300,Customer Deposits & Deferred Revenue,2100,,,1,No,
2300-01,Customer Deposits - Fee Builds - {{ABBR}},2300,,0,Liability,No,
2300-02,Customer Deposits - Spec Sales - {{ABBR}},2300,,0,Liability,No,
2400,Payroll Liabilities,2100,,,1,No,Optional - if managing employees
2400-01,Federal Withholding Payable - {{ABBR}},2400,,0,Liability,No,
2400-02,State Withholding Payable - {{ABBR}},2400,,0,Liability,No,
2400-03,FICA Tax Payable - {{ABBR}},2400,,0,Liability,No,
2600,Long-Term Liabilities,2000,,,1,No,
2600-01,Notes Payable - Banks - {{ABBR}},2600,,0,Liability,No,
2600-02,Notes Payable - Shareholders - {{ABBR}},2600,,0,Liability,No,
2600-03,Mortgages Payable - Real Estate - {{ABBR}},2600,,0,Liability,No,
3000,EQUITY,,,,1,Yes,Main equity category
3100,Contributed Capital,3000,,,1,Yes,
3100-01,Common Stock - {{ABBR}},3100,,0,Equity,No,
3100-02,Additional Paid-in Capital - {{ABBR}},3100,,0,Equity,No,
3200,Retained Earnings,3000,,,1,Yes,
3200-01,Retained Earnings - Prior Years - {{ABBR}},3200,,0,Equity,Yes,
3200-02,Retained Earnings - Current Year - {{ABBR}},3200,,0,Equity,Yes,
4000,REVENUE,,,,1,Yes,Main revenue category
4100,Fee Build Revenue,4000,,,1,No,
4100-01,Base Contract Revenue - Fee Builds - {{ABBR}},4100,Income,0,Income,No,
4100-02,Change Order Revenue - Fee Builds - {{ABBR}},4100,Income,0,Income,No,
4100-05,Builder Fee Revenue - {{ABBR}},4100,Income,0,Income,No,
4200,Spec Home Revenue,4000,,,1,No,
4200-01,Base Home Sales - Spec Homes - {{ABBR}},4200,Income,0,Income,No,
4200-02,Upgrade Revenue - Spec Homes - {{ABBR}},4200,Income,0,Income,No,
4300,Track Build Revenue,4000,,,1,No,
4300-01,Base Home Sales - Track Builds - {{ABBR}},4300,Income,0,Income,No,
4300-02,Upgrade Revenue - Track Builds - {{ABBR}},4300,Income,0,Income,No,
4500,Other Income,4000,,,1,No,
4500-01,Interest Income - {{ABBR}},4500,Income,0,Income,No,
4500-06,Volume Rebates from Suppliers - {{ABBR}},4500,Income,0,Income,No,
5000,COST OF SALES,,,,1,Yes,Main COGS category
5100,Land & Lot Costs,5000,,,1,No,
5100-01,Land Cost - Fee Builds - {{ABBR}},5100,Expense,0,Expense,No,
5100-02,Land Cost - Spec Homes - {{ABBR}},5100,Expense,0,Expense,No,
5100-03,Land Cost - Track Builds - {{ABBR}},5100,Expense,0,Expense,No,
5100-06,Impact Fees - {{ABBR}},5100,Expense,0,Expense,No,
5200,Direct Construction Costs - Sitework,5000,,,1,No,
5200-01,Site Clearing & Grubbing - {{ABBR}},5200,Expense,0,Expense,No,
5200-02,Excavation & Grading - {{ABBR}},5200,Expense,0,Expense,No,
5200-03,Site Utilities - Water - {{ABBR}},5200,Expense,0,Expense,No,
5200-04,Site Utilities - Sewer - {{ABBR}},5200,Expense,0,Expense,No,
5200-07,Driveway & Walkways - {{ABBR}},5200,Expense,0,Expense,No,
5200-08,Landscaping & Sod - {{ABBR}},5200,Expense,0,Expense,No,
5300,Direct Construction Costs - Foundation,5000,,,1,No,
5300-01,Foundation Excavation - {{ABBR}},5300,Expense,0,Expense,No,
5300-02,Footings - {{ABBR}},5300,Expense,0,Expense,No,
5300-03,Foundation Walls - {{ABBR}},5300,Expense,0,Expense,No,
5300-05,Basement Floor/Slab - {{ABBR}},5300,Expense,0,Expense,No,
5400,Direct Construction Costs - Framing,5000,,,1,No,
5400-01,Lumber & Framing Materials - {{ABBR}},5400,Expense,0,Expense,No,
5400-02,Framing Labor - {{ABBR}},5400,Expense,0,Expense,No,
5400-03,Trusses - {{ABBR}},5400,Expense,0,Expense,No,
5500,Direct Construction Costs - Exterior,5000,,,1,No,
5500-01,Roofing Materials - {{ABBR}},5500,Expense,0,Expense,No,
5500-02,Roofing Labor - {{ABBR}},5500,Expense,0,Expense,No,
5500-03,Siding Materials - {{ABBR}},5500,Expense,0,Expense,No,
5500-05,Windows - {{ABBR}},5500,Expense,0,Expense,No,
5500-06,Exterior Doors - {{ABBR}},5500,Expense,0,Expense,No,
5500-07,Garage Doors - {{ABBR}},5500,Expense,0,Expense,No,
5600,Direct Construction Costs - Mechanical,5000,,,1,No,
5600-01,HVAC Equipment - {{ABBR}},5600,Expense,0,Expense,No,
5600-02,HVAC Installation - {{ABBR}},5600,Expense,0,Expense,No,
5600-03,Plumbing Fixtures - {{ABBR}},5600,Expense,0,Expense,No,
5600-04,Plumbing Installation - {{ABBR}},5600,Expense,0,Expense,No,
5700,Direct Construction Costs - Electrical,5000,,,1,No,
5700-01,Electrical Rough-In - {{ABBR}},5700,Expense,0,Expense,No,
5700-02,Electrical Finish - {{ABBR}},5700,Expense,0,Expense,No,
5700-03,Light Fixtures - {{ABBR}},5700,Expense,0,Expense,No,
5800,Direct Construction Costs - Insulation & Drywall,5000,,,1,No,
5800-01,Insulation - Walls - {{ABBR}},5800,Expense,0,Expense,No,
5800-03,Drywall Materials - {{ABBR}},5800,Expense,0,Expense,No,
5800-04,Drywall Installation - {{ABBR}},5800,Expense,0,Expense,No,
5900,Direct Construction Costs - Interior Finishes,5000,,,1,No,
5900-01,Interior Doors & Hardware - {{ABBR}},5900,Expense,0,Expense,No,
5900-02,Trim & Millwork - {{ABBR}},5900,Expense,0,Expense,No,
5900-03,Interior Paint - {{ABBR}},5900,Expense,0,Expense,No,
5900-04,Flooring - Carpet - {{ABBR}},5900,Expense,0,Expense,No,
5900-05,Flooring - Hardwood - {{ABBR}},5900,Expense,0,Expense,No,
5900-08,Countertops - {{ABBR}},5900,Expense,0,Expense,No,
5900-09,Cabinets - Kitchen - {{ABBR}},5900,Expense,0,Expense,No,
5900-10,Cabinets - Bath - {{ABBR}},5900,Expense,0,Expense,No,
5900-12,Appliances - {{ABBR}},5900,Expense,0,Expense,No,
6000,Indirect Construction Costs,5000,,,1,No,
6000-01,Architectural & Design Fees - {{ABBR}},6000,Expense,0,Expense,No,
6000-02,Engineering Fees - {{ABBR}},6000,Expense,0,Expense,No,
6000-03,Permit Fees - {{ABBR}},6000,Expense,0,Expense,No,
6000-13,Builder's Risk Insurance - {{ABBR}},6000,Expense,0,Expense,No,
6000-14,Warranty Insurance - {{ABBR}},6000,Expense,0,Expense,No,
6000-18,Real Estate Commissions - {{ABBR}},6000,Expense,0,Expense,No,
6100,Warranty Costs,5000,,,1,No,
6100-01,Warranty Repairs - Year 1 - {{ABBR}},6100,Expense,0,Expense,No,
6100-02,Warranty Repairs - Structural - {{ABBR}},6100,Expense,0,Expense,No,
7000,OPERATING EXPENSES,,,,1,Yes,Main operating expense category
7100,Sales & Marketing,7000,,,1,No,
7100-01,Advertising - Print - {{ABBR}},7100,Expense,0,Expense,No,
7100-02,Advertising - Digital/Online - {{ABBR}},7100,Expense,0,Expense,No,
7100-04,Model Home Expenses - {{ABBR}},7100,Expense,0,Expense,No,
7100-06,Marketing Materials & Brochures - {{ABBR}},7100,Expense,0,Expense,No,
7100-11,Sales Commissions - Internal - {{ABBR}},7100,Expense,0,Expense,No,
7100-12,Realtor Commissions - {{ABBR}},7100,Expense,0,Expense,No,
7200,Payroll & Benefits,7000,,,1,No,
7200-01,Salaries - Executive - {{ABBR}},7200,Expense,0,Expense,No,
7200-02,Salaries - Management - {{ABBR}},7200,Expense,0,Expense,No,
7200-03,Salaries - Superintendents - {{ABBR}},7200,Expense,0,Expense,No,
7200-07,Payroll Taxes - Company Portion - {{ABBR}},7200,Expense,0,Expense,No,
7200-08,Health Insurance - Company Portion - {{ABBR}},7200,Expense,0,Expense,No,
7200-10,Workers Compensation Insurance - {{ABBR}},7200,Expense,0,Expense,No,
7300,Office & Administrative,7000,,,1,No,
7300-01,Rent - Office - {{ABBR}},7300,Expense,0,Expense,No,
7300-03,Utilities - Office - {{ABBR}},7300,Expense,0,Expense,No,
7300-05,Telephone & Internet - {{ABBR}},7300,Expense,0,Expense,No,
7300-06,Office Supplies - {{ABBR}},7300,Expense,0,Expense,No,
7300-09,Computer Software & Subscriptions - {{ABBR}},7300,Expense,0,Expense,No,
7400,Professional Services,7000,,,1,No,
7400-01,Accounting & Bookkeeping - {{ABBR}},7400,Expense,0,Expense,No,
7400-02,Legal Fees - {{ABBR}},7400,Expense,0,Expense,No,
7400-04,Tax Preparation & Planning - {{ABBR}},7400,Expense,0,Expense,No,
7500,Occupancy & Facilities,7000,,,1,No,
7500-02,Insurance - General Liability - {{ABBR}},7500,Expense,0,Expense,No,
7500-03,Insurance - Property & Casualty - {{ABBR}},7500,Expense,0,Expense,No,
7600,Vehicles & Equipment,7000,,,1,No,
7600-01,Vehicle Fuel - {{ABBR}},7600,Expense,0,Expense,No,
7600-02,Vehicle Maintenance & Repairs - {{ABBR}},7600,Expense,0,Expense,No,
7600-03,Vehicle Insurance - {{ABBR}},7600,Expense,0,Expense,No,
7800,Depreciation & Amortization,7000,,,1,No,
7800-01,Depreciation Expense - Buildings - {{ABBR}},7800,Expense,0,Expense,No,
7800-02,Depreciation Expense - Vehicles - {{ABBR}},7800,Expense,0,Expense,No,
7800-03,Depreciation Expense - Equipment - {{ABBR}},7800,Expense,0,Expense,No,
7900,Other Operating Expenses,7000,,,1,No,
7900-01,Bank Service Charges - {{ABBR}},7900,Expense,0,Expense,No,
7900-03,Bad Debt Expense - {{ABBR}},7900,Expense,0,Expense,No,
8000,OTHER INCOME & EXPENSES,,,,1,No,
8300,Income Tax,8000,,,1,No,
8300-01,Federal Income Tax Expense - {{ABBR}},8300,Expense,0,Expense,No,
8300-02,State Income Tax Expense - {{ABBR}},8300,Expense,0,Expense,No,
