Account Number,Account Name,Parent Account,Account Type,Is Group,Root Type,Required,Description
1000,ASSETS,,,,1,Yes,Main asset category
1100,Current Assets,1000,,,1,Yes,
1100-01,Cash - Operating Account - {{ABBR}},1100,Bank,0,Asset,Yes,Main operating account
1100-02,Cash - Construction Account - {{ABBR}},1100,Bank,0,Asset,No,Separate construction account
1100-03,Cash - Reserve Account - {{ABBR}},1100,Bank,0,Asset,No,
1100-04,Cash - Escrow Account - {{ABBR}},1100,Bank,0,Asset,No,
1200,Accounts Receivable,1100,,,1,Yes,
1200-01,Accounts Receivable - Home Sales - {{ABBR}},1200,Receivable,0,Asset,Yes,
1200-03,Earnest Money Deposits Held - {{ABBR}},1200,,0,Asset,No,
1300,Land & Lot Development in Progress,1000,,,1,Yes,HORIZONTAL phase costs
1300-01,Land Acquisition Cost - {{ABBR}},1300,,0,Asset,Yes,
1300-02,Land Closing Costs & Fees - {{ABBR}},1300,,0,Asset,No,
1310,Entitlement Costs,1300,,,1,Yes,
1310-01,Legal Fees - Entitlement - {{ABBR}},1310,,0,Asset,No,
1310-02,Engineering Fees - Civil - {{ABBR}},1310,,0,Asset,No,
1310-05,Land Planning & Design - {{ABBR}},1310,,0,Asset,No,
1310-06,Surveying - Boundary & Topographic - {{ABBR}},1310,,0,Asset,No,
1320,Site Development Costs,1300,,,1,Yes,
1320-01,Mass Grading & Earthwork - {{ABBR}},1320,,0,Asset,No,
1320-03,Storm Drainage System - {{ABBR}},1320,,0,Asset,No,
1320-04,Sanitary Sewer - Mains - {{ABBR}},1320,,0,Asset,No,
1320-06,Water Distribution System - {{ABBR}},1320,,0,Asset,No,
1320-08,Street Paving - Base - {{ABBR}},1320,,0,Asset,No,
1320-09,Street Paving - Surface - {{ABBR}},1320,,0,Asset,No,
1320-10,Curb & Gutter - {{ABBR}},1320,,0,Asset,No,
1320-11,Sidewalks - {{ABBR}},1320,,0,Asset,No,
1320-14,Underground Electric - {{ABBR}},1320,,0,Asset,No,
1320-18,Landscaping - Common Areas - {{ABBR}},1320,,0,Asset,No,
1320-20,Monuments & Entry Features - {{ABBR}},1320,,0,Asset,No,
1330,Off-Site Improvements,1300,,,1,No,
1330-01,Off-Site Road Improvements - {{ABBR}},1330,,0,Asset,No,
1330-02,Off-Site Utility Extensions - {{ABBR}},1330,,0,Asset,No,
1340,Development Soft Costs,1300,,,1,No,
1340-01,Permits - Development - {{ABBR}},1340,,0,Asset,No,
1340-02,Impact Fees - Roads - {{ABBR}},1340,,0,Asset,No,
1340-03,Impact Fees - Schools - {{ABBR}},1340,,0,Asset,No,
1340-06,Utility Connection Fees - {{ABBR}},1340,,0,Asset,No,
1340-07,HOA Formation Costs - {{ABBR}},1340,,0,Asset,No,
1400,Finished Lot Inventory,1000,,,1,Yes,Lots completed awaiting home construction
1400-01,Finished Lots - Available for Building - {{ABBR}},1400,,0,Asset,No,
1400-02,Finished Lots - Under Home Construction - {{ABBR}},1400,,0,Asset,No,
1500,Homes Under Construction,1000,,,1,Yes,VERTICAL phase costs
1500-01,Land/Lot Cost - Allocated to Home - {{ABBR}},1500,,0,Asset,No,Lot cost when home starts
1500-02,Builder Contract Cost - {{BUILDER_NAME}} - {{ABBR}},1500,,0,Asset,No,Replace {{BUILDER_NAME}} e.g. RCH
1500-03,Owner-Purchased Items - {{ABBR}},1500,,0,Asset,No,
1500-04,Upgrades & Change Orders - {{ABBR}},1500,,0,Asset,No,
1500-05,Construction Management Fees - Vertical - {{ABBR}},1500,,0,Asset,No,
1500-06,Builder's Risk Insurance - {{ABBR}},1500,,0,Asset,No,
1500-07,Warranty Insurance - {{ABBR}},1500,,0,Asset,No,
1500-08,Building Permits & Fees - {{ABBR}},1500,,0,Asset,No,
1500-09,Tap Fees - Individual Homes - {{ABBR}},1500,,0,Asset,No,
1500-13,Architectural & Design - Homes - {{ABBR}},1500,,0,Asset,No,
1500-14,Construction Financing Interest - Homes - {{ABBR}},1500,,0,Asset,No,
1600,Completed Homes Inventory,1000,,,1,Yes,
1600-01,Completed Homes - Available for Sale - {{ABBR}},1600,,0,Asset,No,
1600-02,Completed Homes - Under Contract - {{ABBR}},1600,,0,Asset,No,
1600-03,Model Homes - {{ABBR}},1600,,0,Asset,No,
1700,Prepaid Expenses & Other Current Assets,1100,,,1,No,
1700-01,Prepaid Insurance - {{ABBR}},1700,,0,Asset,No,
1700-02,Prepaid Property Taxes - {{ABBR}},1700,,0,Asset,No,
1700-04,Deposits - Performance Bonds - {{ABBR}},1700,,0,Asset,No,
2000,LIABILITIES,,,,1,Yes,Main liability category
2100,Current Liabilities,2000,,,1,Yes,
2100-01,Accounts Payable - Trade - {{ABBR}},2100,Payable,0,Liability,Yes,
2100-02,Accounts Payable - {{BUILDER_NAME}} (Builder) - {{ABBR}},2100,Payable,0,Liability,No,Payments to builder
2100-03,Accounts Payable - Contractors - {{ABBR}},2100,Payable,0,Liability,No,
2100-05,Retainage Payable - {{ABBR}},2100,Payable,0,Liability,No,
2100-06,Current Portion - Development Loan - {{ABBR}},2100,,0,Liability,No,
2100-07,Current Portion - Construction Loans - {{ABBR}},2100,,0,Liability,No,
2200,Accrued Expenses,2100,,,1,No,
2200-01,Accrued Interest - Development Loan - {{ABBR}},2200,,0,Liability,No,
2200-02,Accrued Interest - Construction Loans - {{ABBR}},2200,,0,Liability,No,
2200-03,Accrued Property Taxes - {{ABBR}},2200,,0,Liability,No,
2200-06,Accrued Builder Costs - {{ABBR}},2200,,0,Liability,No,
2200-07,Accrued Warranty Obligations - {{ABBR}},2200,,0,Liability,No,
2300,Customer Deposits & Deferred Revenue,2100,,,1,No,
2300-01,Customer Earnest Money Deposits - {{ABBR}},2300,,0,Liability,No,
2300-02,Customer Design Center Deposits - {{ABBR}},2300,,0,Liability,No,
2300-03,Customer Upgrade Deposits - {{ABBR}},2300,,0,Liability,No,
2500,Long-Term Liabilities,2000,,,1,No,
2500-01,Development Loan - Land Acquisition - {{ABBR}},2500,,0,Liability,No,
2500-02,Development Loan - Horizontal Development - {{ABBR}},2500,,0,Liability,No,
2500-03,Construction Loans - Individual Homes - {{ABBR}},2500,,0,Liability,No,
2500-04,Notes Payable - Partners/Members - {{ABBR}},2500,,0,Liability,No,
3000,EQUITY,,,,1,Yes,Main equity category
3100,Member Capital,3000,,,1,Yes,
3100-01,Member Capital - {{MEMBER_1_NAME}} - Contributed,3100,,0,Equity,Yes,Replace with actual partner name
3100-02,Member Capital - {{MEMBER_1_NAME}} - Allocated Profit/Loss,3100,,0,Equity,Yes,
3100-03,Member Capital - {{MEMBER_2_NAME}} - Contributed,3100,,0,Equity,Yes,Replace with actual partner name
3100-04,Member Capital - {{MEMBER_2_NAME}} - Allocated Profit/Loss,3100,,0,Equity,Yes,
3200,Distributions,3000,,,1,No,
3200-01,Distributions - {{MEMBER_1_NAME}},3200,,0,Equity,No,
3200-02,Distributions - {{MEMBER_2_NAME}},3200,,0,Equity,No,
3300,Retained Earnings,3000,,,1,Yes,
3300-01,Retained Earnings - Prior - {{ABBR}},3300,,0,Equity,Yes,
3300-02,Current Year Earnings - {{ABBR}},3300,,0,Equity,Yes,
4000,REVENUE,,,,1,Yes,Main revenue category
4100,Home Sales Revenue,4000,,,1,Yes,
4100-01,Base Home Sales - {{ABBR}},4100,Income,0,Income,Yes,
4100-02,Structural Options Revenue - {{ABBR}},4100,Income,0,Income,No,
4100-03,Design Center Selections Revenue - {{ABBR}},4100,Income,0,Income,No,
4100-04,Upgrades & Change Orders Revenue - {{ABBR}},4100,Income,0,Income,No,
4100-05,Lot Premium Revenue - {{ABBR}},4100,Income,0,Income,No,
4100-06,Model Home Sales Revenue - {{ABBR}},4100,Income,0,Income,No,
4200,Other Income,4000,,,1,No,
4200-01,Interest Income - {{ABBR}},4200,Income,0,Income,No,
4200-02,Forfeited Deposits - {{ABBR}},4200,Income,0,Income,No,
5000,COST OF SALES,,,,1,Yes,Main COGS category
5100,Land & Lot Costs - Sold Homes,5000,,,1,Yes,Allocated from horizontal phase
5100-01,Land Acquisition Cost - Allocated - {{ABBR}},5100,Expense,0,Expense,No,
5100-02,Entitlement Costs - Allocated - {{ABBR}},5100,Expense,0,Expense,No,
5100-03,Site Development Costs - Allocated - {{ABBR}},5100,Expense,0,Expense,No,
5100-04,Off-Site Improvements - Allocated - {{ABBR}},5100,Expense,0,Expense,No,
5100-05,Development Soft Costs - Allocated - {{ABBR}},5100,Expense,0,Expense,No,
5200,Home Construction Costs - Sold Homes,5000,,,1,Yes,Costs from vertical phase
5200-01,Builder Contract - {{BUILDER_NAME}} Base Cost - {{ABBR}},5200,Expense,0,Expense,No,
5200-02,Builder Contract - Upgrades - {{ABBR}},5200,Expense,0,Expense,No,
5200-03,Builder Contract - Change Orders - {{ABBR}},5200,Expense,0,Expense,No,
5200-04,Owner-Purchased Items - {{ABBR}},5200,Expense,0,Expense,No,
5200-05,Construction Management Fees - {{ABBR}},5200,Expense,0,Expense,No,
5200-06,Builder's Risk Insurance - {{ABBR}},5200,Expense,0,Expense,No,
5200-07,Warranty Insurance - {{ABBR}},5200,Expense,0,Expense,No,
5200-08,Building Permits & Fees - {{ABBR}},5200,Expense,0,Expense,No,
5200-11,Architectural & Design - {{ABBR}},5200,Expense,0,Expense,No,
5200-12,Construction Interest - {{ABBR}},5200,Expense,0,Expense,No,
5300,Direct Selling Costs,5000,,,1,No,
5300-01,Real Estate Commissions - {{ABBR}},5300,Expense,0,Expense,No,
5300-02,Title & Closing Costs - {{ABBR}},5300,Expense,0,Expense,No,
5300-03,Transfer Taxes - {{ABBR}},5300,Expense,0,Expense,No,
5400,Warranty Costs,5000,,,1,No,
5400-01,Warranty Repairs - Year 1 - {{ABBR}},5400,Expense,0,Expense,No,
5400-02,Warranty Repairs - Structural - {{ABBR}},5400,Expense,0,Expense,No,
6000,OPERATING EXPENSES,,,,1,Yes,Main operating expense category
6100,Sales & Marketing,6000,,,1,No,
6100-01,Advertising & Marketing - {{ABBR}},6100,Expense,0,Expense,No,
6100-02,Model Home Operations - {{ABBR}},6100,Expense,0,Expense,No,
6100-03,Sales Center Operations - {{ABBR}},6100,Expense,0,Expense,No,
6100-04,Signage - {{ABBR}},6100,Expense,0,Expense,No,
6100-07,Website & Digital Marketing - {{ABBR}},6100,Expense,0,Expense,No,
6200,General & Administrative,6000,,,1,No,
6200-01,Management Fees - Project Management - {{ABBR}},6200,Expense,0,Expense,No,
6200-02,Professional Fees - Accounting - {{ABBR}},6200,Expense,0,Expense,No,
6200-03,Professional Fees - Legal - {{ABBR}},6200,Expense,0,Expense,No,
6200-06,Insurance - General Liability - {{ABBR}},6200,Expense,0,Expense,No,
6200-07,Bank Fees & Charges - {{ABBR}},6200,Expense,0,Expense,No,
6300,Property Carrying Costs,6000,,,1,No,
6300-01,Property Taxes - Unsold Homes/Lots - {{ABBR}},6300,Expense,0,Expense,No,
6300-02,HOA Dues - Unsold Homes - {{ABBR}},6300,Expense,0,Expense,No,
6300-03,Utilities - Unsold Homes - {{ABBR}},6300,Expense,0,Expense,No,
6300-05,Maintenance - Unsold Homes - {{ABBR}},6300,Expense,0,Expense,No,
6400,Financing Costs,6000,,,1,No,
6400-01,Interest Expense - Development Loan (Operating) - {{ABBR}},6400,Expense,0,Expense,No,
6400-02,Interest Expense - Construction Loans (Operating) - {{ABBR}},6400,Expense,0,Expense,No,
6400-03,Interest Expense - Partner Loans - {{ABBR}},6400,Expense,0,Expense,No,
7000,OTHER INCOME & EXPENSES,,,,1,No,
7300,Income Tax,7000,,,1,No,
7300-01,Federal Income Tax Expense - {{ABBR}},7300,Expense,0,Expense,No,
7300-02,State Income Tax Expense - {{ABBR}},7300,Expense,0,Expense,No,
