Account Number,Account Name,Parent Account,Account Type,Is Group,Root Type,Required,Description
1000,ASSETS,,,,1,Yes,Main asset category
1100,Current Assets,1000,,,1,Yes,
1100-01,Cash - Operating Account - {{ABBR}},1100,Bank,0,Asset,Yes,Main operating bank account
1100-02,Cash - Reserve Account - {{ABBR}},1100,Bank,0,Asset,No,
1100-03,Cash - Escrow Account - {{ABBR}},1100,Bank,0,Asset,No,
1200,Accounts Receivable,1100,,,1,Yes,
1200-01,Accounts Receivable - Lot Sales - {{ABBR}},1200,Receivable,0,Asset,Yes,
1200-02,Earnest Money Deposits Held - {{ABBR}},1200,,0,Asset,No,
1200-03,Retainage Receivable - {{ABBR}},1200,Receivable,0,Asset,No,
1300,Land & Development in Progress,1000,,,1,Yes,Core development tracking
1300-01,Land Acquisition Cost - {{ABBR}},1300,,0,Asset,Yes,
1300-02,Land Closing Costs & Fees - {{ABBR}},1300,,0,Asset,No,
1300-03,Environmental Remediation - {{ABBR}},1300,,0,Asset,No,
1300-04,Site Clearing & Demolition - {{ABBR}},1300,,0,Asset,No,
1310,Entitlement Costs,1300,,,1,Yes,Costs to entitle land
1310-01,Legal Fees - Entitlement - {{ABBR}},1310,,0,Asset,No,
1310-02,Engineering Fees - Civil - {{ABBR}},1310,,0,Asset,No,
1310-03,Engineering Fees - Geotechnical - {{ABBR}},1310,,0,Asset,No,
1310-04,Engineering Fees - Environmental - {{ABBR}},1310,,0,Asset,No,
1310-05,Land Planning & Design - {{ABBR}},1310,,0,Asset,No,
1310-06,Surveying - Boundary & Topographic - {{ABBR}},1310,,0,Asset,No,
1310-07,Traffic Studies - {{ABBR}},1310,,0,Asset,No,
1310-08,Market Studies - {{ABBR}},1310,,0,Asset,No,
1310-09,Wetland Delineation & Studies - {{ABBR}},1310,,0,Asset,No,
1310-10,Rezoning & Approval Fees - {{ABBR}},1310,,0,Asset,No,
1320,Site Development Costs,1300,,,1,Yes,Infrastructure development
1320-01,Mass Grading & Earthwork - {{ABBR}},1320,,0,Asset,No,
1320-02,Erosion & Sediment Control - {{ABBR}},1320,,0,Asset,No,
1320-03,Storm Drainage System - {{ABBR}},1320,,0,Asset,No,
1320-04,Sanitary Sewer - Mains - {{ABBR}},1320,,0,Asset,No,
1320-05,Sanitary Sewer - Lift Stations - {{ABBR}},1320,,0,Asset,No,
1320-06,Water Distribution System - {{ABBR}},1320,,0,Asset,No,
1320-08,Street Paving - Base - {{ABBR}},1320,,0,Asset,No,
1320-09,Street Paving - Surface - {{ABBR}},1320,,0,Asset,No,
1320-10,Curb & Gutter - {{ABBR}},1320,,0,Asset,No,
1320-11,Sidewalks - {{ABBR}},1320,,0,Asset,No,
1320-12,Street Signage - {{ABBR}},1320,,0,Asset,No,
1320-13,Street Lighting - {{ABBR}},1320,,0,Asset,No,
1320-14,Underground Electric - {{ABBR}},1320,,0,Asset,No,
1320-15,Underground Gas - {{ABBR}},1320,,0,Asset,No,
1320-16,Underground Telecom - {{ABBR}},1320,,0,Asset,No,
1320-18,Landscaping - Common Areas - {{ABBR}},1320,,0,Asset,No,
1320-19,Landscaping - Streetscape - {{ABBR}},1320,,0,Asset,No,
1320-20,Monuments & Entry Features - {{ABBR}},1320,,0,Asset,No,
1330,Off-Site Improvements,1300,,,1,No,
1330-01,Off-Site Road Improvements - {{ABBR}},1330,,0,Asset,No,
1330-02,Off-Site Utility Extensions - {{ABBR}},1330,,0,Asset,No,
1330-03,Off-Site Drainage Improvements - {{ABBR}},1330,,0,Asset,No,
1340,Development Soft Costs,1300,,,1,No,
1340-01,Permits - Development - {{ABBR}},1340,,0,Asset,No,
1340-02,Impact Fees - Roads - {{ABBR}},1340,,0,Asset,No,
1340-03,Impact Fees - Schools - {{ABBR}},1340,,0,Asset,No,
1340-04,Impact Fees - Parks & Recreation - {{ABBR}},1340,,0,Asset,No,
1340-06,Utility Connection Fees - {{ABBR}},1340,,0,Asset,No,
1340-07,HOA Formation Costs - {{ABBR}},1340,,0,Asset,No,
1340-09,Final Plat Preparation & Recording - {{ABBR}},1340,,0,Asset,No,
1340-10,Construction Management Fees - {{ABBR}},1340,,0,Asset,No,
1350,Lot Finishing Costs,1300,,,1,No,
1350-01,Individual Lot Grading - {{ABBR}},1350,,0,Asset,No,
1350-03,Individual Lot Sod/Seed - {{ABBR}},1350,,0,Asset,No,
1350-04,Utility Stub-Outs to Lot Line - {{ABBR}},1350,,0,Asset,No,
1400,Finished Lot Inventory,1000,,,1,Yes,
1400-01,Finished Lots - Available for Sale - {{ABBR}},1400,,0,Asset,No,
1400-02,Finished Lots - Under Contract - {{ABBR}},1400,,0,Asset,No,
1500,Prepaid Expenses & Other Current Assets,1100,,,1,No,
1500-01,Prepaid Insurance - {{ABBR}},1500,,0,Asset,No,
1500-02,Prepaid Property Taxes - {{ABBR}},1500,,0,Asset,No,
1500-05,Deposits - Performance Bonds - {{ABBR}},1500,,0,Asset,No,
2000,LIABILITIES,,,,1,Yes,Main liability category
2100,Current Liabilities,2000,,,1,Yes,
2100-01,Accounts Payable - Trade - {{ABBR}},2100,Payable,0,Liability,Yes,
2100-02,Accounts Payable - Contractors - {{ABBR}},2100,Payable,0,Liability,No,
2100-03,Accounts Payable - Engineers/Consultants - {{ABBR}},2100,Payable,0,Liability,No,
2100-04,Retainage Payable - Contractors - {{ABBR}},2100,Payable,0,Liability,No,
2100-05,Current Portion - Development Loan - {{ABBR}},2100,,0,Liability,No,
2100-07,Line of Credit - {{ABBR}},2100,,0,Liability,No,
2200,Accrued Expenses,2100,,,1,No,
2200-01,Accrued Interest - Development Loan - {{ABBR}},2200,,0,Liability,No,
2200-02,Accrued Property Taxes - {{ABBR}},2200,,0,Liability,No,
2200-03,Accrued Professional Fees - {{ABBR}},2200,,0,Liability,No,
2300,Customer Deposits & Deferred Revenue,2100,,,1,No,
2300-01,Customer Earnest Money Deposits - {{ABBR}},2300,,0,Liability,No,
2300-02,Option Deposits - Lot Reservations - {{ABBR}},2300,,0,Liability,No,
2500,Long-Term Liabilities,2000,,,1,No,
2500-01,Development Loan - Land Acquisition Tranche - {{ABBR}},2500,,0,Liability,No,
2500-02,Development Loan - Development Tranche - {{ABBR}},2500,,0,Liability,No,
2500-03,Notes Payable - Partners/Members - {{ABBR}},2500,,0,Liability,No,
3000,EQUITY,,,,1,Yes,Main equity category
3100,Member Capital,3000,,,1,Yes,Partner/member equity
3100-01,Member Capital - {{MEMBER_1_NAME}} - Contributed,3100,,0,Equity,Yes,Replace {{MEMBER_1_NAME}} with actual name
3100-02,Member Capital - {{MEMBER_1_NAME}} - Allocated Profit/Loss,3100,,0,Equity,Yes,
3100-03,Member Capital - {{MEMBER_2_NAME}} - Contributed,3100,,0,Equity,Yes,Replace {{MEMBER_2_NAME}} with actual name
3100-04,Member Capital - {{MEMBER_2_NAME}} - Allocated Profit/Loss,3100,,0,Equity,Yes,
3200,Distributions,3000,,,1,No,
3200-01,Distributions - {{MEMBER_1_NAME}},3200,,0,Equity,No,
3200-02,Distributions - {{MEMBER_2_NAME}},3200,,0,Equity,No,
3300,Retained Earnings,3000,,,1,Yes,
3300-01,Retained Earnings - Prior - {{ABBR}},3300,,0,Equity,Yes,
3300-02,Current Year Earnings - {{ABBR}},3300,,0,Equity,Yes,
4000,REVENUE,,,,1,Yes,Main revenue category
4100,Lot Sales Revenue,4000,,,1,Yes,
4100-01,Lot Sales - Base Price - {{ABBR}},4100,Income,0,Income,Yes,
4100-02,Lot Premium Revenue - Oversized Lots - {{ABBR}},4100,Income,0,Income,No,
4100-03,Lot Premium Revenue - Corner Lots - {{ABBR}},4100,Income,0,Income,No,
4100-04,Lot Premium Revenue - Cul-de-sac Lots - {{ABBR}},4100,Income,0,Income,No,
4100-05,Lot Premium Revenue - View Lots - {{ABBR}},4100,Income,0,Income,No,
4200,Other Income,4000,,,1,No,
4200-01,Interest Income - {{ABBR}},4200,Income,0,Income,No,
4200-02,Utility Reimbursements - {{ABBR}},4200,Income,0,Income,No,
5000,COST OF SALES,,,,1,Yes,Main COGS category
5100,Cost of Lots Sold,5000,,,1,Yes,Allocated costs when lots sell
5100-01,Land Cost - Allocated to Lots Sold - {{ABBR}},5100,Expense,0,Expense,No,
5100-02,Entitlement Costs - Allocated to Lots Sold - {{ABBR}},5100,Expense,0,Expense,No,
5100-03,Site Development Costs - Allocated to Lots Sold - {{ABBR}},5100,Expense,0,Expense,No,
5100-04,Off-Site Improvements - Allocated to Lots Sold - {{ABBR}},5100,Expense,0,Expense,No,
5100-05,Development Soft Costs - Allocated to Lots Sold - {{ABBR}},5100,Expense,0,Expense,No,
5100-06,Lot Finishing Costs - Allocated to Lots Sold - {{ABBR}},5100,Expense,0,Expense,No,
5200,Direct Selling Costs,5000,,,1,No,
5200-01,Real Estate Commissions - {{ABBR}},5200,Expense,0,Expense,No,
5200-02,Title & Closing Costs - {{ABBR}},5200,Expense,0,Expense,No,
5200-03,Transfer Taxes - {{ABBR}},5200,Expense,0,Expense,No,
6000,OPERATING EXPENSES,,,,1,Yes,Main operating expense category
6100,Sales & Marketing,6000,,,1,No,
6100-01,Advertising & Marketing - {{ABBR}},6100,Expense,0,Expense,No,
6100-02,Model/Sales Office Operations - {{ABBR}},6100,Expense,0,Expense,No,
6100-03,Signage - {{ABBR}},6100,Expense,0,Expense,No,
6200,General & Administrative,6000,,,1,No,
6200-01,Management Fees - {{ABBR}},6200,Expense,0,Expense,No,
6200-02,Professional Fees - Accounting - {{ABBR}},6200,Expense,0,Expense,No,
6200-03,Professional Fees - Legal - {{ABBR}},6200,Expense,0,Expense,No,
6200-06,Insurance - General Liability - {{ABBR}},6200,Expense,0,Expense,No,
6200-07,Bank Fees & Charges - {{ABBR}},6200,Expense,0,Expense,No,
6300,Property Carrying Costs,6000,,,1,No,
6300-01,Property Taxes - Unsold Lots - {{ABBR}},6300,Expense,0,Expense,No,
6300-02,HOA Dues - Unsold Lots - {{ABBR}},6300,Expense,0,Expense,No,
6300-05,Maintenance - Common Areas - {{ABBR}},6300,Expense,0,Expense,No,
6400,Financing Costs,6000,,,1,No,
6400-01,Interest Expense - Development Loan - {{ABBR}},6400,Expense,0,Expense,No,
6400-02,Interest Expense - Partner/Member Loans - {{ABBR}},6400,Expense,0,Expense,No,
6400-03,Loan Fees & Costs - {{ABBR}},6400,Expense,0,Expense,No,
7000,OTHER INCOME & EXPENSES,,,,1,No,
7300,Income Tax,7000,,,1,No,
7300-01,Federal Income Tax Expense - {{ABBR}},7300,Expense,0,Expense,No,
7300-02,State Income Tax Expense - {{ABBR}},7300,Expense,0,Expense,No,
