Account Number,Account Name,Parent Account,Account Type,Is Group,Root Type,Required,Description
1000,ASSETS,,,,1,Yes,Main asset category
1100,Current Assets,1000,,,1,Yes,
1100-01,Cash - Operating Account - {{ABBR}},1100,Bank,0,Asset,Yes,
1100-02,Cash - Construction Account - {{ABBR}},1100,Bank,0,Asset,No,
1100-03,Cash - Reserve Account - {{ABBR}},1100,Bank,0,Asset,No,
1200,Accounts Receivable,1100,,,1,Yes,
1200-01,Accounts Receivable - Home Sales - {{ABBR}},1200,Receivable,0,Asset,Yes,
1200-02,Earnest Money Deposits Held - {{ABBR}},1200,,0,Asset,No,
1300,Finished Lot Inventory,1000,,,1,Yes,Bulk lot purchase
1300-01,Lot Purchase Cost - Bulk Acquisition - {{ABBR}},1300,,0,Asset,Yes,Total purchase from developer
1300-02,Lot Purchase Closing Costs - {{ABBR}},1300,,0,Asset,No,
1300-03,Title Insurance - Bulk Purchase - {{ABBR}},1300,,0,Asset,No,
1300-04,Transfer Taxes - Lot Purchase - {{ABBR}},1300,,0,Asset,No,
1300-05,Legal Fees - Lot Acquisition - {{ABBR}},1300,,0,Asset,No,
1300-07,Developer Incentives/Credits Applied - {{ABBR}},1300,,0,Asset,No,UNIQUE - reduces lot cost
1300-08,HOA Initiation Fees - {{ABBR}},1300,,0,Asset,No,
1310,Lot-Specific Preparation,1300,,,1,No,
1310-01,Lot Specific Grading Adjustments - {{ABBR}},1310,,0,Asset,No,
1310-02,Additional Utility Connections - {{ABBR}},1310,,0,Asset,No,
1400,Homes Under Construction,1000,,,1,Yes,
1400-01,Lot Cost Allocated to Home - Unit 1 - {{ABBR}},1400,,0,Asset,No,
1400-02,Lot Cost Allocated to Home - Unit 2 - {{ABBR}},1400,,0,Asset,No,
1400-03,Lot Cost Allocated to Home - Unit 3 - {{ABBR}},1400,,0,Asset,No,
1400-06,Lot Cost Allocated to Home - Units 6-10 - {{ABBR}},1400,,0,Asset,No,Can group by 5s for larger projects
1400-07,Lot Cost Allocated to Home - Units 11-20 - {{ABBR}},1400,,0,Asset,No,
1410,Builder Contract Costs - {{BUILDER_NAME}},1400,,,1,No,
1410-01,Builder Base Contract - Unit 1 - {{ABBR}},1410,,0,Asset,No,
1410-02,Builder Base Contract - Unit 2 - {{ABBR}},1410,,0,Asset,No,
1410-03,Builder Base Contract - Unit 3 - {{ABBR}},1410,,0,Asset,No,
1410-06,Builder Base Contract - Units 6-10 - {{ABBR}},1410,,0,Asset,No,
1410-09,Builder Upgrades & Selections - All Homes - {{ABBR}},1410,,0,Asset,No,
1410-10,Builder Change Orders - All Homes - {{ABBR}},1410,,0,Asset,No,
1420,Owner-Direct Costs,1400,,,1,No,
1420-01,Owner-Purchased Items - Plan A - {{ABBR}},1420,,0,Asset,No,Group by plan type
1420-02,Owner-Purchased Items - Plan B - {{ABBR}},1420,,0,Asset,No,
1430,Soft Costs - Construction,1400,,,1,No,
1430-01,Architectural & Design - Base Plans - {{ABBR}},1430,,0,Asset,No,
1430-03,Engineering Fees - {{ABBR}},1430,,0,Asset,No,
1430-04,Building Permits & Fees - {{ABBR}},1430,,0,Asset,No,
1430-09,Builder's Risk Insurance - {{ABBR}},1430,,0,Asset,No,
1430-10,Warranty Insurance - {{ABBR}},1430,,0,Asset,No,
1430-14,Construction Management Fees - {{ABBR}},1430,,0,Asset,No,
1430-16,Construction Financing Interest - {{ABBR}},1430,,0,Asset,No,
1500,Completed Homes Inventory,1000,,,1,Yes,
1500-01,Completed Homes - Available for Sale - Plan A - {{ABBR}},1500,,0,Asset,No,Group by plan
1500-02,Completed Homes - Available for Sale - Plan B - {{ABBR}},1500,,0,Asset,No,
1500-04,Completed Homes - Under Contract - {{ABBR}},1500,,0,Asset,No,
1500-05,Model Homes - {{ABBR}},1500,,0,Asset,No,
1600,Prepaid Expenses & Other Current Assets,1100,,,1,No,
1600-01,Prepaid Insurance - {{ABBR}},1600,,0,Asset,No,
1600-02,Prepaid Property Taxes - {{ABBR}},1600,,0,Asset,No,
1600-03,Prepaid HOA Fees - Bulk - {{ABBR}},1600,,0,Asset,No,
2000,LIABILITIES,,,,1,Yes,Main liability category
2100,Current Liabilities,2000,,,1,Yes,
2100-01,Accounts Payable - Trade - {{ABBR}},2100,Payable,0,Liability,Yes,
2100-02,Accounts Payable - {{BUILDER_NAME}} (Builder) - {{ABBR}},2100,Payable,0,Liability,No,
2100-03,Accounts Payable - Original Developer - {{ABBR}},2100,Payable,0,Liability,No,If financed from developer
2100-04,Retainage Payable - {{BUILDER_NAME}} - {{ABBR}},2100,Payable,0,Liability,No,
2100-05,Notes Payable - Lot Purchase (if financed) - {{ABBR}},2100,,0,Liability,No,
2100-06,Construction Loans Payable - Current - {{ABBR}},2100,,0,Liability,No,
2100-07,Line of Credit - {{ABBR}},2100,,0,Liability,No,
2200,Accrued Expenses,2100,,,1,No,
2200-01,Accrued Interest - Lot Purchase Note - {{ABBR}},2200,,0,Liability,No,
2200-02,Accrued Interest - Construction Loans - {{ABBR}},2200,,0,Liability,No,
2200-04,Accrued Property Taxes - {{ABBR}},2200,,0,Liability,No,
2200-05,Accrued HOA Fees - {{ABBR}},2200,,0,Liability,No,
2200-07,Accrued Builder Costs - {{ABBR}},2200,,0,Liability,No,
2300,Customer Deposits & Deferred Revenue,2100,,,1,No,
2300-01,Customer Earnest Money Deposits - {{ABBR}},2300,,0,Liability,No,
2300-02,Customer Design Center Deposits - {{ABBR}},2300,,0,Liability,No,
2400,Other Current Liabilities,2100,,,1,No,
2400-03,Developer Take-Out Fees Payable - {{ABBR}},2400,,0,Liability,No,Minimum build pace penalties
2500,Long-Term Liabilities,2000,,,1,No,
2500-01,Notes Payable - Lot Purchase (Long-Term) - {{ABBR}},2500,,0,Liability,No,
2500-02,Construction Loans - Long-Term - {{ABBR}},2500,,0,Liability,No,
2500-03,Notes Payable - Partners/Members - {{ABBR}},2500,,0,Liability,No,
3000,EQUITY,,,,1,Yes,Main equity category
3100,Member Capital,3000,,,1,Yes,
3100-01,Member Capital - {{MEMBER_1_NAME}} - Contributed,3100,,0,Equity,Yes,Replace with actual name
3100-02,Member Capital - {{MEMBER_1_NAME}} - Allocated Profit/Loss,3100,,0,Equity,Yes,
3100-03,Member Capital - {{MEMBER_2_NAME}} - Contributed,3100,,0,Equity,Yes,Replace with actual name
3100-04,Member Capital - {{MEMBER_2_NAME}} - Allocated Profit/Loss,3100,,0,Equity,Yes,
3200,Distributions,3000,,,1,No,
3200-01,Distributions - {{MEMBER_1_NAME}},3200,,0,Equity,No,
3200-02,Distributions - {{MEMBER_2_NAME}},3200,,0,Equity,No,
3300,Retained Earnings,3000,,,1,Yes,
3300-01,Retained Earnings - Prior - {{ABBR}},3300,,0,Equity,Yes,
3300-02,Current Year Earnings - {{ABBR}},3300,,0,Equity,Yes,
4000,REVENUE,,,,1,Yes,Main revenue category
4100,Home Sales Revenue,4000,,,1,Yes,
4100-01,Base Home Sales - Plan A - {{ABBR}},4100,Income,0,Income,Yes,
4100-02,Base Home Sales - Plan B - {{ABBR}},4100,Income,0,Income,No,
4100-04,Structural Options Revenue - {{ABBR}},4100,Income,0,Income,No,
4100-05,Design Center Selections Revenue - {{ABBR}},4100,Income,0,Income,No,
4100-06,Upgrades & Change Orders Revenue - {{ABBR}},4100,Income,0,Income,No,
4100-07,Lot Premium Revenue - {{ABBR}},4100,Income,0,Income,No,
4200,Other Income,4000,,,1,No,
4200-01,Interest Income - {{ABBR}},4200,Income,0,Income,No,
4200-02,Forfeited Deposits - {{ABBR}},4200,Income,0,Income,No,
4200-04,Developer Incentives/Rebates - {{ABBR}},4200,Income,0,Income,No,UNIQUE - volume bonuses
5000,COST OF SALES,,,,1,Yes,Main COGS category
5100,Lot Costs - Sold Homes,5000,,,1,Yes,
5100-01,Lot Purchase Cost - Allocated - {{ABBR}},5100,Expense,0,Expense,No,
5100-02,Lot Purchase Closing Costs - Allocated - {{ABBR}},5100,Expense,0,Expense,No,
5100-03,Lot Preparation Costs - Allocated - {{ABBR}},5100,Expense,0,Expense,No,
5100-05,HOA Initiation Fees - Allocated - {{ABBR}},5100,Expense,0,Expense,No,
5200,Home Construction Costs - Sold Homes,5000,,,1,Yes,
5200-01,Builder Contract - {{BUILDER_NAME}} Base Cost - {{ABBR}},5200,Expense,0,Expense,No,
5200-02,Builder Contract - Structural Options - {{ABBR}},5200,Expense,0,Expense,No,
5200-03,Builder Contract - Upgrades - {{ABBR}},5200,Expense,0,Expense,No,
5200-04,Builder Contract - Change Orders - {{ABBR}},5200,Expense,0,Expense,No,
5200-05,Owner-Purchased Items - {{ABBR}},5200,Expense,0,Expense,No,
5200-06,Architectural & Design - {{ABBR}},5200,Expense,0,Expense,No,
5200-08,Building Permits & Fees - {{ABBR}},5200,Expense,0,Expense,No,
5200-11,Builder's Risk Insurance - {{ABBR}},5200,Expense,0,Expense,No,
5200-12,Warranty Insurance - {{ABBR}},5200,Expense,0,Expense,No,
5200-15,Construction Financing Interest - {{ABBR}},5200,Expense,0,Expense,No,
5300,Direct Selling Costs,5000,,,1,No,
5300-01,Real Estate Commissions - Outside Agents - {{ABBR}},5300,Expense,0,Expense,No,
5300-02,Real Estate Commissions - Internal - {{ABBR}},5300,Expense,0,Expense,No,
5300-03,Title & Closing Costs - {{ABBR}},5300,Expense,0,Expense,No,
5300-04,Transfer Taxes - {{ABBR}},5300,Expense,0,Expense,No,
5400,Warranty Costs,5000,,,1,No,
5400-01,Warranty Repairs - Year 1 - {{ABBR}},5400,Expense,0,Expense,No,
5400-02,Warranty Repairs - Structural - {{ABBR}},5400,Expense,0,Expense,No,
6000,OPERATING EXPENSES,,,,1,Yes,Main operating expense category
6100,Sales & Marketing,6000,,,1,No,
6100-01,Advertising - Print - {{ABBR}},6100,Expense,0,Expense,No,
6100-02,Advertising - Digital/Online - {{ABBR}},6100,Expense,0,Expense,No,
6100-04,Model Home Operations - {{ABBR}},6100,Expense,0,Expense,No,
6100-05,Sales Center Operations - {{ABBR}},6100,Expense,0,Expense,No,
6100-08,Marketing Materials & Brochures - {{ABBR}},6100,Expense,0,Expense,No,
6100-11,Website & Digital Marketing - {{ABBR}},6100,Expense,0,Expense,No,
6200,General & Administrative,6000,,,1,No,
6200-01,Management Fees - Project Management - {{ABBR}},6200,Expense,0,Expense,No,
6200-02,Professional Fees - Accounting - {{ABBR}},6200,Expense,0,Expense,No,
6200-03,Professional Fees - Legal - {{ABBR}},6200,Expense,0,Expense,No,
6200-06,Insurance - General Liability - {{ABBR}},6200,Expense,0,Expense,No,
6200-07,Bank Fees & Charges - {{ABBR}},6200,Expense,0,Expense,No,
6300,Property Carrying Costs,6000,,,1,No,
6300-01,Property Taxes - Unbuilt Lots - {{ABBR}},6300,Expense,0,Expense,No,
6300-02,Property Taxes - Completed Unsold Homes - {{ABBR}},6300,Expense,0,Expense,No,
6300-03,HOA Fees - Unsold Homes - {{ABBR}},6300,Expense,0,Expense,No,
6300-04,Utilities - Unsold Homes - {{ABBR}},6300,Expense,0,Expense,No,
6300-06,Maintenance - Unsold Homes - {{ABBR}},6300,Expense,0,Expense,No,
6400,Financing Costs,6000,,,1,No,
6400-01,Interest Expense - Lot Purchase Note (Operating) - {{ABBR}},6400,Expense,0,Expense,No,
6400-02,Interest Expense - Construction Loans (Post-Completion) - {{ABBR}},6400,Expense,0,Expense,No,
6400-04,Interest Expense - Partner Loans - {{ABBR}},6400,Expense,0,Expense,No,
7000,OTHER INCOME & EXPENSES,,,,1,No,
7300,Income Tax,7000,,,1,No,
7300-01,Federal Income Tax Expense - {{ABBR}},7300,Expense,0,Expense,No,
7300-02,State Income Tax Expense - {{ABBR}},7300,Expense,0,Expense,No,
