Account Number,Account Name,Parent Account,Account Type,Is Group,Root Type,Required,Description
1000,ASSETS,,,,1,Yes,Main asset category
1100,Current Assets,1000,,,1,Yes,
1100-01,Cash - Operating Account - {{ABBR}},1100,Bank,0,Asset,Yes,
1100-02,Cash - Construction Account - {{ABBR}},1100,Bank,0,Asset,No,
1100-03,Cash - Reserve Account - {{ABBR}},1100,Bank,0,Asset,No,
1200,Accounts Receivable,1100,,,1,Yes,
1200-01,Accounts Receivable - Home Sales - {{ABBR}},1200,Receivable,0,Asset,Yes,
1200-02,Earnest Money Deposits Held - {{ABBR}},1200,,0,Asset,No,
1300,Lot Inventory,1000,,,1,Yes,Individual lot tracking
1300-01,Lot Purchase Cost - Lot 1 - {{ABBR}},1300,,0,Asset,No,Track each lot separately
1300-02,Lot Purchase Cost - Lot 2 - {{ABBR}},1300,,0,Asset,No,
1300-03,Lot Purchase Cost - Lot 3 - {{ABBR}},1300,,0,Asset,No,
1300-04,Lot Purchase Cost - Lot 4 - {{ABBR}},1300,,0,Asset,No,
1300-05,Lot Purchase Cost - Lot 5 - {{ABBR}},1300,,0,Asset,No,
1300-06,Lot Closing Costs - {{ABBR}},1300,,0,Asset,No,
1300-07,Title & Survey Costs - {{ABBR}},1300,,0,Asset,No,
1300-08,Transfer Taxes - Lot Purchase - {{ABBR}},1300,,0,Asset,No,
1300-09,Legal Fees - Lot Acquisition - {{ABBR}},1300,,0,Asset,No,
1300-11,Lot Preparation Costs - {{ABBR}},1300,,0,Asset,No,
1300-13,Utility Connection Fees - {{ABBR}},1300,,0,Asset,No,
1300-14,Tap Fees & Assessments - {{ABBR}},1300,,0,Asset,No,
1400,Homes Under Construction,1000,,,1,Yes,
1400-01,Lot Cost Allocated - Home 1 - {{ABBR}},1400,,0,Asset,No,
1400-02,Lot Cost Allocated - Home 2 - {{ABBR}},1400,,0,Asset,No,
1400-03,Lot Cost Allocated - Home 3 - {{ABBR}},1400,,0,Asset,No,
1400-04,Lot Cost Allocated - Home 4 - {{ABBR}},1400,,0,Asset,No,
1400-05,Lot Cost Allocated - Home 5 - {{ABBR}},1400,,0,Asset,No,
1410,Builder Contract Costs - {{BUILDER_NAME}},1400,,,1,No,
1410-01,Builder Base Contract - Home 1 - {{ABBR}},1410,,0,Asset,No,
1410-02,Builder Base Contract - Home 2 - {{ABBR}},1410,,0,Asset,No,
1410-03,Builder Base Contract - Home 3 - {{ABBR}},1410,,0,Asset,No,
1410-04,Builder Base Contract - Home 4 - {{ABBR}},1410,,0,Asset,No,
1410-05,Builder Base Contract - Home 5 - {{ABBR}},1410,,0,Asset,No,
1410-06,Builder Upgrades & Change Orders - All Homes - {{ABBR}},1410,,0,Asset,No,
1420,Owner-Direct Costs,1400,,,1,No,
1420-01,Owner-Purchased Items - Home 1 - {{ABBR}},1420,,0,Asset,No,
1420-02,Owner-Purchased Items - Home 2 - {{ABBR}},1420,,0,Asset,No,
1420-03,Owner-Purchased Items - Home 3 - {{ABBR}},1420,,0,Asset,No,
1430,Soft Costs - Construction,1400,,,1,No,
1430-01,Architectural & Design Fees - {{ABBR}},1430,,0,Asset,No,
1430-03,Building Permits & Fees - {{ABBR}},1430,,0,Asset,No,
1430-07,Builder's Risk Insurance - {{ABBR}},1430,,0,Asset,No,
1430-08,Warranty Insurance - {{ABBR}},1430,,0,Asset,No,
1430-12,Construction Management Fees - {{ABBR}},1430,,0,Asset,No,
1430-14,Construction Financing Interest - {{ABBR}},1430,,0,Asset,No,
1430-15,Appraisal Fees - {{ABBR}},1430,,0,Asset,No,
1500,Completed Homes Inventory,1000,,,1,Yes,
1500-01,Completed Home - Home 1 - {{ABBR}},1500,,0,Asset,No,
1500-02,Completed Home - Home 2 - {{ABBR}},1500,,0,Asset,No,
1500-03,Completed Home - Home 3 - {{ABBR}},1500,,0,Asset,No,
1500-04,Completed Home - Home 4 - {{ABBR}},1500,,0,Asset,No,
1500-05,Completed Home - Home 5 - {{ABBR}},1500,,0,Asset,No,
1600,Prepaid Expenses & Other Current Assets,1100,,,1,No,
1600-01,Prepaid Insurance - {{ABBR}},1600,,0,Asset,No,
1600-02,Prepaid Property Taxes - {{ABBR}},1600,,0,Asset,No,
2000,LIABILITIES,,,,1,Yes,Main liability category
2100,Current Liabilities,2000,,,1,Yes,
2100-01,Accounts Payable - Trade - {{ABBR}},2100,Payable,0,Liability,Yes,
2100-02,Accounts Payable - {{BUILDER_NAME}} (Builder) - {{ABBR}},2100,Payable,0,Liability,No,
2100-03,Retainage Payable - {{BUILDER_NAME}} - {{ABBR}},2100,Payable,0,Liability,No,
2100-04,Construction Loan Payable - Home 1 - {{ABBR}},2100,,0,Liability,No,
2100-05,Construction Loan Payable - Home 2 - {{ABBR}},2100,,0,Liability,No,
2100-06,Construction Loan Payable - Home 3 - {{ABBR}},2100,,0,Liability,No,
2100-09,Line of Credit - {{ABBR}},2100,,0,Liability,No,
2200,Accrued Expenses,2100,,,1,No,
2200-01,Accrued Interest - Construction Loans - {{ABBR}},2200,,0,Liability,No,
2200-03,Accrued Property Taxes - {{ABBR}},2200,,0,Liability,No,
2200-06,Accrued Builder Costs - {{ABBR}},2200,,0,Liability,No,
2300,Customer Deposits & Deferred Revenue,2100,,,1,No,
2300-01,Customer Earnest Money Deposits - {{ABBR}},2300,,0,Liability,No,
2500,Long-Term Liabilities,2000,,,1,No,
2500-01,Notes Payable - Partners/Members - {{ABBR}},2500,,0,Liability,No,
3000,EQUITY,,,,1,Yes,Main equity category
3100,Member Capital,3000,,,1,Yes,
3100-01,Member Capital - {{MEMBER_1_NAME}} - Contributed,3100,,0,Equity,Yes,Replace with actual name
3100-02,Member Capital - {{MEMBER_1_NAME}} - Allocated Profit/Loss,3100,,0,Equity,Yes,
3100-03,Member Capital - {{MEMBER_2_NAME}} - Contributed,3100,,0,Equity,Yes,Replace with actual name
3100-04,Member Capital - {{MEMBER_2_NAME}} - Allocated Profit/Loss,3100,,0,Equity,Yes,
3200,Distributions,3000,,,1,No,
3200-01,Distributions - {{MEMBER_1_NAME}},3200,,0,Equity,No,
3200-02,Distributions - {{MEMBER_2_NAME}},3200,,0,Equity,No,
3300,Retained Earnings,3000,,,1,Yes,
3300-01,Retained Earnings - Prior - {{ABBR}},3300,,0,Equity,Yes,
3300-02,Current Year Earnings - {{ABBR}},3300,,0,Equity,Yes,
4000,REVENUE,,,,1,Yes,Main revenue category
4100,Home Sales Revenue,4000,,,1,Yes,
4100-01,Base Home Sales - {{ABBR}},4100,Income,0,Income,Yes,
4100-02,Structural Options Revenue - {{ABBR}},4100,Income,0,Income,No,
4100-03,Design Center Selections Revenue - {{ABBR}},4100,Income,0,Income,No,
4100-04,Upgrades & Change Orders Revenue - {{ABBR}},4100,Income,0,Income,No,
4200,Other Income,4000,,,1,No,
4200-01,Interest Income - {{ABBR}},4200,Income,0,Income,No,
4200-02,Forfeited Deposits - {{ABBR}},4200,Income,0,Income,No,
5000,COST OF SALES,,,,1,Yes,Main COGS category
5100,Lot Costs - Sold Homes,5000,,,1,Yes,
5100-01,Lot Purchase Cost - Sold - {{ABBR}},5100,Expense,0,Expense,No,
5100-02,Lot Closing Costs - Sold - {{ABBR}},5100,Expense,0,Expense,No,
5100-03,Lot Preparation Costs - Sold - {{ABBR}},5100,Expense,0,Expense,No,
5100-05,Tap Fees & Assessments - Sold - {{ABBR}},5100,Expense,0,Expense,No,
5200,Home Construction Costs - Sold Homes,5000,,,1,Yes,
5200-01,Builder Contract - {{BUILDER_NAME}} Base Cost - {{ABBR}},5200,Expense,0,Expense,No,
5200-02,Builder Contract - Upgrades - {{ABBR}},5200,Expense,0,Expense,No,
5200-03,Builder Contract - Change Orders - {{ABBR}},5200,Expense,0,Expense,No,
5200-04,Owner-Purchased Items - {{ABBR}},5200,Expense,0,Expense,No,
5200-05,Architectural & Design - {{ABBR}},5200,Expense,0,Expense,No,
5200-07,Building Permits & Fees - {{ABBR}},5200,Expense,0,Expense,No,
5200-09,Builder's Risk Insurance - {{ABBR}},5200,Expense,0,Expense,No,
5200-10,Warranty Insurance - {{ABBR}},5200,Expense,0,Expense,No,
5200-13,Construction Financing Interest - {{ABBR}},5200,Expense,0,Expense,No,
5300,Direct Selling Costs,5000,,,1,No,
5300-01,Real Estate Commissions - {{ABBR}},5300,Expense,0,Expense,No,
5300-02,Title & Closing Costs - {{ABBR}},5300,Expense,0,Expense,No,
5300-03,Transfer Taxes - {{ABBR}},5300,Expense,0,Expense,No,
5400,Warranty Costs,5000,,,1,No,
5400-01,Warranty Repairs - Year 1 - {{ABBR}},5400,Expense,0,Expense,No,
5400-02,Warranty Repairs - Structural - {{ABBR}},5400,Expense,0,Expense,No,
6000,OPERATING EXPENSES,,,,1,Yes,Main operating expense category
6100,Sales & Marketing,6000,,,1,No,
6100-01,Advertising & Marketing - {{ABBR}},6100,Expense,0,Expense,No,
6100-02,Signage - {{ABBR}},6100,Expense,0,Expense,No,
6200,General & Administrative,6000,,,1,No,
6200-01,Management Fees - {{ABBR}},6200,Expense,0,Expense,No,
6200-02,Professional Fees - Accounting - {{ABBR}},6200,Expense,0,Expense,No,
6200-03,Professional Fees - Legal - {{ABBR}},6200,Expense,0,Expense,No,
6200-06,Insurance - General Liability - {{ABBR}},6200,Expense,0,Expense,No,
6200-07,Bank Fees & Charges - {{ABBR}},6200,Expense,0,Expense,No,
6300,Property Carrying Costs,6000,,,1,No,
6300-01,Property Taxes - Lots - {{ABBR}},6300,Expense,0,Expense,No,
6300-02,Property Taxes - Completed Homes - {{ABBR}},6300,Expense,0,Expense,No,
6300-03,HOA Fees - Unsold Homes - {{ABBR}},6300,Expense,0,Expense,No,
6300-04,Utilities - Completed Homes - {{ABBR}},6300,Expense,0,Expense,No,
6400,Financing Costs,6000,,,1,No,
6400-01,Interest Expense - Construction Loans (Post-Completion) - {{ABBR}},6400,Expense,0,Expense,No,
6400-03,Interest Expense - Partner Loans - {{ABBR}},6400,Expense,0,Expense,No,
7000,OTHER INCOME & EXPENSES,,,,1,No,
7300,Income Tax,7000,,,1,No,
7300-01,Federal Income Tax Expense - {{ABBR}},7300,Expense,0,Expense,No,
7300-02,State Income Tax Expense - {{ABBR}},7300,Expense,0,Expense,No,
